,MoveiID,Writer,WriterID
0,tt2015381,JamesGunn,1
1,tt2015381,NicolePerlman,2
2,tt2015381,DanAbnett,3
3,tt1446714,JonSpaihts,4
4,tt1446714,DamonLindelof,5
5,tt1446714,DanO'Bannon,6
6,tt4972582,M.NightShyamalan,7
7,tt3470600,GarthJennings,8
8,tt1386697,DavidAyer,9
9,tt1386697,JohnOstrander,10
10,tt2034800,CarloBernard,11
11,tt2034800,DougMiro,12
12,tt2034800,TonyGilroy,13
13,tt3783958,DamienChazelle,14
14,tt1212428,JamesGray,15
15,tt1212428,DavidGrann,16
17,tt3183660,J.K.Rowling,17
18,tt4846340,AllisonSchroeder,18
19,tt4846340,TheodoreMelfi,19
20,tt4846340,MargotLeeShetterly,20
21,tt3748528,ChrisWeitz,21
23,tt3748528,JohnKnoll,22
24,tt3521164,JaredBush,23
25,tt3521164,RonClements,24
26,tt3521164,JohnMusker,25
27,tt4680182,NachoVigalondo,26
28,tt2709768,CincoPaul,27
29,tt2709768,KenDaurio,28
30,tt2709768,BrianLynch,29
31,tt2119532,RobertSchenkkan,30
32,tt2119532,AndrewKnight,31
33,tt4196776,PaulGreengrass,32
34,tt4196776,ChristopherRouse,33
35,tt4196776,RobertLudlum,34
36,tt3741834,SarooBrierley,35
37,tt3741834,LukeDavies,36
38,tt2543164,EricHeisserer,37
39,tt2543164,TedChiang,38
40,tt1800302,PatrickMassett,39
41,tt1800302,JohnZinman,40
42,tt4034228,KennethLonergan,41
43,tt1679335,JonathanAibel,42
44,tt1679335,GlennBerger,43
45,tt1679335,EricaRivinoja,44
46,tt1628841,NicolasWright,45
47,tt1628841,JamesA.Woods,46
48,tt1628841,DeanDevlin,47
49,tt4651520,JonLucas,48
50,tt4651520,ScottMoore,49
51,tt2094766,MichaelLesslie,50
52,tt2094766,AdamCooper,51
53,tt2094766,BillCollage,52
54,tt4501244,JohnHamburg,53
55,tt4501244,IanHelfer,54
56,tt4501244,JonahHill,55
57,tt4550098,TomFord,56
58,tt4550098,AustinWright,57
59,tt3385516,SimonKinberg,58
60,tt3385516,BryanSinger,59
61,tt3385516,MichaelDougherty,60
62,tt1431045,RhettReese,61
63,tt1431045,PaulWernick,62
64,tt2592614,PaulW.S.Anderson,63
65,tt3498820,ChristopherMarkus,64
66,tt3498820,StephenMcFeely,65
67,tt3498820,JoeSimon,66
68,tt0816692,JonathanNolan,67
69,tt0816692,ChristopherNolan,68
71,tt1211837,ScottDerrickson,69
72,tt1211837,C.RobertCargill,70
73,tt2404435,AkiraKurosawa,71
74,tt2404435,ShinobuHashimoto,72
75,tt2404435,HideoOguni,73
76,tt1700841,KyleHunter,74
77,tt1700841,ArielShaffir,75
78,tt1700841,SethRogen,76
79,tt4975722,BarryJenkins,77
80,tt4975722,TarellAlvinMcCraney,78
81,tt4276820,RobertSiegel,79
82,tt1366338,ElginJames,80
83,tt1366338,CheoHodariCoker,81
84,tt1298650,TedElliott,82
85,tt1298650,TerryRossio,83
86,tt1298650,StuartBeattie,84
87,tt4540710,JonathanPerera,85
88,tt2660888,SimonPegg,86
89,tt2660888,DougJung,87
90,tt2660888,GeneRoddenberry,88
91,tt2488496,LawrenceKasdan,89
92,tt2488496,J.J.Abrams,90
93,tt2488496,MichaelArndt,91
94,tt3717252,CoryGoodman,92
95,tt3717252,KyleWard,93
96,tt3717252,KevinGrevioux,94
97,tt4824302,AnyaKochoff,95
98,tt4824302,MatthewWalker,96
99,tt4824302,TomHines,97
100,tt2911666,DerekKolstad,98
103,tt0468569,DavidS.Goyer,99
104,tt0490215,JayCocks,100
105,tt0490215,MartinScorsese,101
106,tt0490215,ShûsakuEndô,102
107,tt4160708,FedeAlvarez,103
108,tt4160708,RodoSayagues,104
109,tt2674426,JojoMoyes,105
110,tt1661275,LissaEvans,106
111,tt1661275,GabyChiappe,107
112,tt3263904,ToddKomarnicki,108
113,tt3263904,ChesleySullenberger,109
114,tt3263904,JeffreyZaslow,110
115,tt2975590,ChrisTerrio,111
117,tt2975590,BobKane,112
118,tt3289956,IanGoldberg,113
119,tt3289956,RichardNaing,114
120,tt3631112,ErinCressidaWilson,115
121,tt3631112,PaulaHawkins,116
122,tt2322441,KellyMarcel,117
123,tt2322441,E.L.James,118
126,tt0482571,ChristopherPriest,119
127,tt2802144,JaneGoldman,120
128,tt2802144,MatthewVaughn,121
129,tt2802144,MarkMillar,122
130,tt4572514,PeterBerg,123
131,tt4572514,MattCook,124
132,tt4572514,JoshuaZetumer,125
133,tt1392190,GeorgeMiller,126
134,tt1392190,BrendanMcCarthy,127
135,tt1392190,NickLathouris,128
136,tt5195412,E.L.Doctorow,129
137,tt5195412,RobinSwicord,130
138,tt5195412,NathanielHawthorne,131
139,tt1860357,MatthewMichaelCarnahan,132
140,tt1860357,MatthewSand,133
141,tt1860357,DavidBarstow,134
142,tt4776998,TerryGeorge,135
144,tt3640424,StevenKnight,136
145,tt3416532,PatrickNess,137
146,tt3416532,SiobhanDowd,138
147,tt4682786,AllanLoeb,139
148,tt2948356,ByronHoward,140
149,tt2948356,RichMoore,141
154,tt0848228,JossWhedon,142
155,tt0848228,ZakPenn,143
156,tt0361748,QuentinTarantino,144
160,tt0087332,DanAykroyd,145
161,tt0087332,HaroldRamis,146
162,tt0087332,RickMoranis,147
164,tt3553976,MattRoss,148
165,tt0993846,TerenceWinter,149
166,tt0993846,JordanBelfort,150
167,tt2267998,GillianFlynn,151
168,tt0369610,RickJaffa,152
169,tt0369610,AmandaSilver,153
170,tt0369610,ColinTrevorrow,154
171,tt2361317,BenAffleck,155
172,tt2361317,DennisLehane,156
173,tt0499549,JamesCameron,157
175,tt2140479,BillDubuque,158
176,tt1392214,AaronGuzikowski,159
177,tt0803096,CharlesLeavitt,160
178,tt0803096,DuncanJones,161
179,tt1454029,TateTaylor,162
180,tt1454029,KathrynStockett,163
181,tt2005151,StephenChin,164
182,tt2005151,ToddPhillips,165
183,tt2005151,JasonSmilovic,166
185,tt2395427,StanLee,167
186,tt2395427,JackKirby,168
187,tt3799694,ShaneBlack,169
188,tt3799694,AnthonyBagarozzi,170
189,tt4255304,JeremyGillespie,171
190,tt4255304,StevenKostanski,172
191,tt4714782,OlivierAssayas,173
